Ticker,Ticker Type,Sector Description,Key,Title,Description,Year,Quarter,Month,Value Type,Value,Format,Unit,Currency Type,Source
AMZN,Equity,Internet & Direct Marketing,wwshipmentcostsgrowth,WW shipping costs -- Y/Y growth,,2018,Q1,,actual,38,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-29-566-billion
AMZN,Equity,Internet & Direct Marketing,wwpaidunitsgrowth,Ww paid units -- y/y growth,,2018,Q1,,actual,22,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-29-566-billion
AMZN,Equity,Internet & Direct Marketing,wwsellerunitmix,Ww seller unit mix -- % of ww paid units,,2018,Q1,,actual,52,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-29-566-billion
AMZN,Equity,Internet & Direct Marketing,wwshipmentcostsgrowth,WW shipping costs -- Y/Y growth,,2016,Q1,,actual,42,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwshipmentcostsgrowth,WW shipping costs -- Y/Y growth,,2017,Q1,,actual,34,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwpaidunitsgrowth,Ww paid units -- y/y growth,,2016,Q1,,actual,27,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwpaidunitsgrowth,Ww paid units -- y/y growth,,2017,Q1,,actual,24,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwsellerunitmix,Ww seller unit mix -- % of ww paid units,,2016,Q1,,actual,48,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwsellerunitmix,Ww seller unit mix -- % of ww paid units,,2017,Q1,,actual,50,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-first-quarter-sales-23-357-billion
AMZN,Equity,Internet & Direct Marketing,wwshipmentcostsgrowth,WW shipping costs -- Y/Y growth,,2015,Q1,,actual,26,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-23-254-billion
AMZN,Equity,Internet & Direct Marketing,wwpaidunitsgrowth,Ww paid units -- y/y growth,,2015,Q1,,actual,20,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-23-254-billion
AMZN,Equity,Internet & Direct Marketing,wwsellerunitmix,Ww seller unit mix -- % of ww paid units,,2015,Q1,,actual,44,percentage,,,https://ir.aboutamazon.com/news-releases/news-release-details/amazoncom-announces-third-quarter-sales-23-254-billion
AMZN,Equity,Internet & Direct Marketing,northamericanetsales,North America Net Sales,,2018,Q1,,actual,"30,725",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,northamericanetsales,North America Net Sales,,2017,Q1,,actual,"20,992",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,northamericaoperatingincome,North America Operating Income,,2018,Q1,,actual,"1,149",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,northamericaoperatingincome,North America Operating Income,,2017,Q1,,actual,596,currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,internationalnetsales,International Net Sales,,2017,Q1,,actual,"11,061",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,internationalnetsales,International Net Sales,,2018,Q1,,actual,"14,875",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,internationaloperatingincomeloss,International Operating Income (Loss),,2017,Q1,,actual,-481,currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,internationaloperatingincomeloss,International Operating Income (Loss),,2018,Q1,,actual,-622,currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,awsnetsales,AWS Net Sales,,2017,Q1,,actual,"3,661",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,awsnetsales,AWS Net Sales,,2018,Q1,,actual,"5,442",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,awsoperatingincome,AWS Operating Income,,2017,Q1,,actual,890,currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,awsoperatingincome,AWS Operating Income,,2018,Q1,,actual,"1,400",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesonlinestores,Net Sales Online Stores,,2017,Q1,,actual,"22,826",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesonlinestores,Net Sales Online Stores,,2018,Q1,,actual,"26,939",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesthirdpartysellerservices,Net Sales Third-party Seller Services,,2017,Q1,,actual,"6,438",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesthirdpartysellerservices,Net Sales Third-party Seller Services,,2018,Q1,,actual,"9,265",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesphysicalstores,Net Sales Physical Stores,,2017,Q1,,actual,0,currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalesphysicalstores,Net Sales Physical Stores,,2018,Q1,,actual,"4,263",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
AMZN,Equity,Internet & Direct Marketing,netsalessubscriptionservices,Net Sales Subscription Services,,2017,Q1,,actual,"1,939",currency,million,USD,https://ir.aboutamazon.com/sec-filings/sec-filing/10-q/0001018724-18-000159
